tag,country_file_path,graphical_culture,graphical_culture_2d,color_r,color_g,color_b,capital_state_id,stability,war_support
UKR,countries/Ukraine.txt,eastern_european_gfx,eastern_european_2d,255,255,95,202,,
URG,countries/Uruguay.txt,southamerican_gfx,southamerican_2d,171,190,152,300,0.39,0.12
USA,countries/USA.txt,western_european_gfx,western_european_2d,67,123,237,361,0.75,0
USB,countries/USB.txt,western_european_gfx,western_european_2d,167,123,237,361,0.75,0.5
UZB,countries/Uzbekistan.txt,asian_gfx,asian_2d,,,,405,,
VEN,countries/Venezula.txt,southamerican_gfx,southamerican_2d,171,190,152,307,,
VGE,countries/Volga Germany.txt,western_european_gfx,western_european_2d,153,153,153,829,,
VIN,countries/Vietnam.txt,asian_gfx,asian_2d,230,223,50,671,,
VLA,countries/Vladivostok.txt,eastern_european_gfx,eastern_european_2d,255,204,0,408,,
VOL,countries/Upper Volta.txt,african_gfx,african_2d,,,,778,,
WES,countries/Western Sahara.txt,african_gfx,african_2d,,,,699,,
WGR,countries/West Germany.txt,western_european_gfx,western_european_2d,120,110,89,64,0.7,
WIS,countries/Western Indian States.txt,commonwealth_gfx,commonwealth_2d,,,,428,,
WLA,countries/Welsh Argentina.txt,commonwealth_gfx,commonwealth_2d,,,,955,,
WLS,countries/Wales.txt,commonwealth_gfx,commonwealth_2d,,,,122,,
WPG,countries/West Papua.txt,asian_gfx,asian_2d,172,57,57,669,,
WUR,countries/Wurtemberg.txt,western_european_gfx,western_european_2d,255,204,153,50,0.75,
XIC,countries/Xian.txt,asian_gfx,asian_2d,43,92,181,744,0.5,0.45
XSM,countries/Xibei San Ma.txt,asian_gfx,asian_2d,9,171,190,754,0.5,0.5
YAK,countries/Yakutia.txt,asian_gfx,asian_2d,0,255,255,574,,
YAM,countries/Yamalia.txt,asian_gfx,asian_2d,204,153,0,579,,
YEM,countries/Yeman.txt,middle_eastern_gfx,middle_eastern_2d,155,101,107,293,0.8,0.1
YUC,countries/Yucatan.txt,southamerican_gfx,southamerican_2d,255,26,26,474,,
YUG,countries/Yugoslavia.txt,eastern_european_gfx,eastern_european_2d,72,73,126,107,0.6,
YUN,countries/Yunnan.txt,asian_gfx,asian_2d,171,190,152,325,0.5,0.35
ZAM,countries/Zambia.txt,african_gfx,african_2d,,,,771,,
ZIM,countries/Zimbabwe.txt,african_gfx,commonwealth_2d,155,255,195,545,,
